新闻频道,#genre#
安徽公共,http://sheenic.ueuo.com/ahhdtv.php?id=16
安徽人物频道,http://sheenic.ueuo.com/ahhdtv.php?id=19
安徽国际,http://sheenic.ueuo.com/ahhdtv.php?id=18
合肥新闻频道HD,http://223.244.92.30:808/2774goN/1000/live.m3u8
合肥生活频道HD,http://223.244.92.30:808/xcd72q7/1000/live.m3u8
合肥教育法治频道,http://223.244.92.30:808/x91Hoz8/1000/live.m3u8
合肥财经频道,http://223.244.92.30:808/8Fvh9ro/1000/live.m3u8
合肥故事休闲,http://223.244.92.30:808/52e58Sh/1000/live.m3u8
合肥公共,http://223.244.92.30:808/NlwQhy0/1000/live.m3u8
合肥文体博览频道,http://223.244.92.30:808/FgrhqyC/1000/live.m3u8
合肥新闻,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&verifycode=2000000576&rate=org&programid=4200000185.m3u8&ts=50&auth=no
合肥新闻,http://223.244.92.30:808/2774goN/1000/live.m3u8
合肥生活,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&verifycode=2000000576&rate=org&programid=4200000188.m3u8&ts=50&auth=no
合肥生活,http://223.244.92.30:808/xcd72q7/1000/live.m3u8
合肥财经,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&verifycode=2000000576&rate=org&programid=4200000190.m3u8&ts=50&auth=no
合肥财经,http://223.244.92.30:808/8Fvh9ro/1000/live.m3u8
合肥教育法制,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&verifycode=2000000576&rate=org&programid=4200000189.m3u8&ts=50&auth=no
合肥教育法制,http://223.244.92.30:808/x91Hoz8/1000/live.m3u8
合肥故事休闲,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&verifycode=2000000576&rate=org&programid=4200000191.m3u8&ts=50&auth=no
合肥故事休闲,http://223.244.92.30:808/52e58Sh/1000/live.m3u8
合肥公共,http://223.244.92.30:808/NlwQhy0/1000/live.m3u8
合肥文体博览,http://223.244.92.30:808/FgrhqyC/1000/live.m3u8
合肥-长丰综合,http://218.23.114.19:1935/live/xinwen/playlist.m3u8
合肥频道,#genre#
CCTV1高清,http://kkiptv.hk3.20212021.ml/hf.php?id=124
CCTV2高清,http://kkiptv.hk3.20212021.ml/hf.php?id=125
CCTV3高清,http://kkiptv.hk3.20212021.ml/hf.php?id=126
CCTV4高清,http://kkiptv.hk3.20212021.ml/hf.php?id=127
CCTV5,http://kkiptv.hk3.20212021.ml/hf.php?id=007
CCTV5高清,http://kkiptv.hk3.20212021.ml/hf.php?id=128
CCTV5+高清,http://kkiptv.hk3.20212021.ml/hf.php?id=123
CCTV6,http://kkiptv.hk3.20212021.ml/hf.php?id=008
CCTV6高清,http://kkiptv.hk3.20212021.ml/hf.php?id=129
CCTV7,http://kkiptv.hk3.20212021.ml/hf.php?id=009
CCTV7高清,http://kkiptv.hk3.20212021.ml/hf.php?id=209
CCTV8,http://kkiptv.hk3.20212021.ml/hf.php?id=010
CCTV8高清,http://kkiptv.hk3.20212021.ml/hf.php?id=130
CCTV9,http://kkiptv.hk3.20212021.ml/hf.php?id=011
CCTV9高清,http://kkiptv.hk3.20212021.ml/hf.php?id=131
CCTV10,http://kkiptv.hk3.20212021.ml/hf.php?id=012
CCTV10高清,http://kkiptv.hk3.20212021.ml/hf.php?id=132
CCTV11,http://kkiptv.hk3.20212021.ml/hf.php?id=013
CCTV11高清,http://kkiptv.hk3.20212021.ml/hf.php?id=186
CCTV12,http://kkiptv.hk3.20212021.ml/hf.php?id=014
CCTV12高清,http://kkiptv.hk3.20212021.ml/hf.php?id=187
CCTV13,http://kkiptv.hk3.20212021.ml/hf.php?id=015
CCTV13高清,http://kkiptv.hk3.20212021.ml/hf.php?id=216
CCTV14,http://kkiptv.hk3.20212021.ml/hf.php?id=017
CCTV14高清,http://kkiptv.hk3.20212021.ml/hf.php?id=210
CCTV15,http://kkiptv.hk3.20212021.ml/hf.php?id=039
CCTV15高清,http://kkiptv.hk3.20212021.ml/hf.php?id=192
CCTV16高清,http://kkiptv.hk3.20212021.ml/hf.php?id=224
CCTV17,http://kkiptv.hk3.20212021.ml/hf.php?id=206
聚鲨环球精选,http://kkiptv.hk3.20212021.ml/hf.php?id=019
合肥新闻高清,http://kkiptv.hk3.20212021.ml/hf.php?id=185
合肥生活,http://kkiptv.hk3.20212021.ml/hf.php?id=020
合肥生活高清,http://kkiptv.hk3.20212021.ml/hf.php?id=188
合肥教育法制,http://kkiptv.hk3.20212021.ml/hf.php?id=021
合肥教育法制,http://kkiptv.hk3.20212021.ml/hf.php?id=208
合肥教育法制高清,http://kkiptv.hk3.20212021.ml/hf.php?id=189
合肥财经,http://kkiptv.hk3.20212021.ml/hf.php?id=023
合肥财经高清,http://kkiptv.hk3.20212021.ml/hf.php?id=190
合肥故事休闲高清,http://kkiptv.hk3.20212021.ml/hf.php?id=191
合肥故事休闲,http://kkiptv.hk3.20212021.ml/hf.php?id=024
合肥公共,http://kkiptv.hk3.20212021.ml/hf.php?id=025
皖江购物,http://kkiptv.hk3.20212021.ml/hf.php?id=028
安徽导视,http://kkiptv.hk3.20212021.ml/hf.php?id=031
优购物,http://kkiptv.hk3.20212021.ml/hf.php?id=037
家家购物,http://kkiptv.hk3.20212021.ml/hf.php?id=038
家有购物,http://kkiptv.hk3.20212021.ml/hf.php?id=041
央广购物,http://kkiptv.hk3.20212021.ml/hf.php?id=042
东方卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=016
江苏卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=044
广东卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=046
浙江卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=045
东南卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=047
山东卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=048
江西卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=049
天津卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=052
北京卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=051
黑龙江卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=050
重庆卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=053
河北卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=055
湖南卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=054
河南卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=056
深圳卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=058
云南卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=059
陕西卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=061
辽宁卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=062
四川卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=060
金鹰卡通,http://kkiptv.hk3.20212021.ml/hf.php?id=063
贵州卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=065
山西卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=064
吉林卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=066
甘肃卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=070
优漫卡通,http://kkiptv.hk3.20212021.ml/hf.php?id=071
内蒙古卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=068
湖北卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=067
新疆卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=075
CETV1,http://kkiptv.hk3.20212021.ml/hf.php?id=074
北京冬奥纪实,http://kkiptv.hk3.20212021.ml/hf.php?id=073
北京卡酷少儿,http://kkiptv.hk3.20212021.ml/hf.php?id=072
西藏卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=076
青海卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=198
CGTN,http://kkiptv.hk3.20212021.ml/hf.php?id=078
兵团卫视,http://kkiptv.hk3.20212021.ml/hf.php?id=077
收藏天下,http://kkiptv.hk3.20212021.ml/hf.php?id=081
环球旅游,http://kkiptv.hk3.20212021.ml/hf.php?id=082
优优宝贝,http://kkiptv.hk3.20212021.ml/hf.php?id=083
天元围棋,http://kkiptv.hk3.20212021.ml/hf.php?id=086
书画,http://kkiptv.hk3.20212021.ml/hf.php?id=099
老故事,http://kkiptv.hk3.20212021.ml/hf.php?id=101
摄影频道,http://kkiptv.hk3.20212021.ml/hf.php?id=102
财富天下,http://kkiptv.hk3.20212021.ml/hf.php?id=104
车迷频道,http://kkiptv.hk3.20212021.ml/hf.php?id=119
生态环境,http://kkiptv.hk3.20212021.ml/hf.php?id=120
高尔夫网球,http://kkiptv.hk3.20212021.ml/hf.php?id=122
四海钓鱼,http://kkiptv.hk3.20212021.ml/hf.php?id=121
安徽卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=133
江苏卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=135
湖南卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=134
浙江卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=136
天津卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=137
深圳卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=138
广东卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=141
湖北卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=139
黑龙江卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=142
东方卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=140
北京卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=143
山东卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=144
辽宁卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=145
河北卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=147
东南卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=148
四川卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=146
江西卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=149
河南卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=193
贵州卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=194
吉林卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=195
重庆卫视高清,http://kkiptv.hk3.20212021.ml/hf.php?id=150
全纪实,http://kkiptv.hk3.20212021.ml/hf.php?id=153
魅力足球,http://kkiptv.hk3.20212021.ml/hf.php?id=154
劲爆体育,http://kkiptv.hk3.20212021.ml/hf.php?id=152
电子体育,http://kkiptv.hk3.20212021.ml/hf.php?id=199
重庆时尚购物,http://kkiptv.hk3.20212021.ml/hf.php?id=196
卫生健康,http://kkiptv.hk3.20212021.ml/hf.php?id=201
家政,http://kkiptv.hk3.20212021.ml/hf.php?id=202
中华特产,http://kkiptv.hk3.20212021.ml/hf.php?id=205
CHC高清电影,http://kkiptv.hk3.20212021.ml/hf.php?id=157
CBN风尚生活,http://kkiptv.hk3.20212021.ml/hf.php?id=215
CBN每日影院,http://kkiptv.hk3.20212021.ml/hf.php?id=214
